Drop ID,,,Title,,Airport Code,Continent
214874,https://poap.gallery/drops/214874,https://app.poap2rss.com/event/214874?nowarning=1,I passed through Kotoka International Airport (ACC) in 2026,TRUE,ACC,Africa
214870,https://poap.gallery/drops/214870,https://app.poap2rss.com/event/214870?nowarning=1,I passed through Addis Ababa Bole International Airport (ADD) in 2026,TRUE,ADD,Africa
214921,https://poap.gallery/drops/214921,https://app.poap2rss.com/event/214921?nowarning=1,I passed through Aeroparque Jorge Newbery (AEP) in 2026,FALSE,AEP,South America
218112,https://poap.gallery/drops/218112,https://app.poap2rss.com/event/218112?nowarning=1,I passed through Auckland Airport (AKL) in 2026,TRUE,AKL,Oceania
214903,https://poap.gallery/drops/214903,https://app.poap2rss.com/event/214903?nowarning=1,I passed through Amsterdam Airport Schiphol (AMS) in 2026,FALSE,AMS,Europe
218114,https://poap.gallery/drops/218114,https://app.poap2rss.com/event/218114?nowarning=1,I passed through Athens International Airport Eleftherios Venizelos (ATH) in 2026,FALSE,ATH,Europe
214929,https://poap.gallery/drops/214929,https://app.poap2rss.com/event/214929?nowarning=1,I passed through Hartsfield-Jackson Atlanta International Airport (ATL) in 2026,FALSE,ATL,North America
216411,https://poap.gallery/drops/216411,https://app.poap2rss.com/event/216411?nowarning=1,I passed through Austin-Bergstorm International Airport (AUS) in 2026,FALSE,AUS,North America
216406,https://poap.gallery/drops/216406,https://app.poap2rss.com/event/216406?nowarning=1,I passed through Antalya Airport (AYT) in 2026,FALSE,AYT,Europe
214892,https://poap.gallery/drops/214892,https://app.poap2rss.com/event/214892?nowarning=1,I passed through Barcelona-El Prat Airport (BCN) in 2026,FALSE,BCN,Europe
214904,https://poap.gallery/drops/214904,https://app.poap2rss.com/event/214904?nowarning=1,I passed through Belgrade Nikola Tesla Airport (BEG) in 2026,FALSE,BEG,Europe
214905,https://poap.gallery/drops/214905,https://app.poap2rss.com/event/214905?nowarning=1,I passed through Berlin Brandenburg Airport (BER) in 2026,FALSE,BER,Europe
216423,https://poap.gallery/drops/216423,https://app.poap2rss.com/event/216423?nowarning=1,I passed through Suvarnabhumi Airport (BKK) in 2026,FALSE,BKK,Asia
214886,https://poap.gallery/drops/214886,https://app.poap2rss.com/event/214886?nowarning=1,I passed through Kempegowda International Airport (BLR) in 2026,FALSE,BLR,Asia
216414,https://poap.gallery/drops/216414,https://app.poap2rss.com/event/216414?nowarning=1,I passed through Brisbane Airport (BNE) in 2026,TRUE,BNE,Oceania
214914,https://poap.gallery/drops/214914,https://app.poap2rss.com/event/214914?nowarning=1,I passed through El Dorado International Airport (BOG) in 2026,FALSE,BOG,South America
214887,https://poap.gallery/drops/214887,https://app.poap2rss.com/event/214887?nowarning=1,I passed through Chhatrapati Shivaji Maharaj International Airport (BOM) in 2026,FALSE,BOM,Asia
